Date,Company,Industry,Close,Volume
15-04-2020 00:00,HDFCLIFE,Financial Services,471.70001220703125,3951803
16-04-2020 00:00,HDFCLIFE,Financial Services,489.70001220703125,5065255
17-04-2020 00:00,HDFCLIFE,Financial Services,495.5,6523417
20-04-2020 00:00,HDFCLIFE,Financial Services,508.29998779296875,4164522
21-04-2020 00:00,HDFCLIFE,Financial Services,496.3500061035156,2902453
22-04-2020 00:00,HDFCLIFE,Financial Services,503.6499938964844,2103572
23-04-2020 00:00,HDFCLIFE,Financial Services,488.5,2996470
24-04-2020 00:00,HDFCLIFE,Financial Services,453.3500061035156,4401783
27-04-2020 00:00,HDFCLIFE,Financial Services,484.75,5612310
28-04-2020 00:00,HDFCLIFE,Financial Services,486.1499938964844,5790711
29-04-2020 00:00,HDFCLIFE,Financial Services,492.8500061035156,4230028
30-04-2020 00:00,HDFCLIFE,Financial Services,501.04998779296875,3751397
04-05-2020 00:00,HDFCLIFE,Financial Services,478.95001220703125,2476309
05-05-2020 00:00,HDFCLIFE,Financial Services,477.54998779296875,2499854
06-05-2020 00:00,HDFCLIFE,Financial Services,491.0,5449822
07-05-2020 00:00,HDFCLIFE,Financial Services,494.54998779296875,2443348
08-05-2020 00:00,HDFCLIFE,Financial Services,520.0499877929688,9179719
11-05-2020 00:00,HDFCLIFE,Financial Services,525.2000122070312,5445590
12-05-2020 00:00,HDFCLIFE,Financial Services,526.7999877929688,3693348
13-05-2020 00:00,HDFCLIFE,Financial Services,516.75,3651773
14-05-2020 00:00,HDFCLIFE,Financial Services,495.0,4151383
15-05-2020 00:00,HDFCLIFE,Financial Services,487.29998779296875,3513975
18-05-2020 00:00,HDFCLIFE,Financial Services,469.3500061035156,4108131
19-05-2020 00:00,HDFCLIFE,Financial Services,471.75,5129782
20-05-2020 00:00,HDFCLIFE,Financial Services,479.25,3112785
21-05-2020 00:00,HDFCLIFE,Financial Services,493.79998779296875,4216268
22-05-2020 00:00,HDFCLIFE,Financial Services,494.75,4602359
26-05-2020 00:00,HDFCLIFE,Financial Services,507.45001220703125,4215615
27-05-2020 00:00,HDFCLIFE,Financial Services,503.29998779296875,1859456
28-05-2020 00:00,HDFCLIFE,Financial Services,516.7999877929688,3346486
29-05-2020 00:00,HDFCLIFE,Financial Services,523.2000122070312,27246641
01-06-2020 00:00,HDFCLIFE,Financial Services,516.0999755859375,3151262
02-06-2020 00:00,HDFCLIFE,Financial Services,499.70001220703125,5909622
03-06-2020 00:00,HDFCLIFE,Financial Services,501.3500061035156,13732855
04-06-2020 00:00,HDFCLIFE,Financial Services,517.5999755859375,11739480
05-06-2020 00:00,HDFCLIFE,Financial Services,516.25,3558200
08-06-2020 00:00,HDFCLIFE,Financial Services,522.0499877929688,8429754
09-06-2020 00:00,HDFCLIFE,Financial Services,506.8500061035156,9173485
10-06-2020 00:00,HDFCLIFE,Financial Services,501.70001220703125,3358845
11-06-2020 00:00,HDFCLIFE,Financial Services,501.6499938964844,2482917
12-06-2020 00:00,HDFCLIFE,Financial Services,502.29998779296875,8115108
15-06-2020 00:00,HDFCLIFE,Financial Services,499.8999938964844,3620015
16-06-2020 00:00,HDFCLIFE,Financial Services,505.70001220703125,3578749
17-06-2020 00:00,HDFCLIFE,Financial Services,500.3999938964844,1857859
18-06-2020 00:00,HDFCLIFE,Financial Services,515.9500122070312,4083990
19-06-2020 00:00,HDFCLIFE,Financial Services,521.0999755859375,4569531
22-06-2020 00:00,HDFCLIFE,Financial Services,520.4000244140625,2765644
23-06-2020 00:00,HDFCLIFE,Financial Services,537.0499877929688,5813424
24-06-2020 00:00,HDFCLIFE,Financial Services,527.25,3765172
25-06-2020 00:00,HDFCLIFE,Financial Services,538.4000244140625,2654149
26-06-2020 00:00,HDFCLIFE,Financial Services,541.9000244140625,2586654
29-06-2020 00:00,HDFCLIFE,Financial Services,537.2000122070312,1691365
30-06-2020 00:00,HDFCLIFE,Financial Services,549.0,3355423
01-07-2020 00:00,HDFCLIFE,Financial Services,549.6500244140625,3419769
02-07-2020 00:00,HDFCLIFE,Financial Services,547.9500122070312,1638017
03-07-2020 00:00,HDFCLIFE,Financial Services,572.1500244140625,15663461
06-07-2020 00:00,HDFCLIFE,Financial Services,584.7000122070312,4862801
07-07-2020 00:00,HDFCLIFE,Financial Services,582.5999755859375,3849675
08-07-2020 00:00,HDFCLIFE,Financial Services,581.9500122070312,4280620
